CVE,InitialVersion,FinalVersion,"['reportedDate', 'fixDate', 'component', 'versions']"
CVE-2007-6589,2.0.0.9,2.0.0.9,"[[datetime.datetime(2007, 11, 10, 10, 11), datetime.datetime(2007, 11, 26, 19, 33), u'Networking: JAR', []], [datetime.datetime(2007, 2, 8, 20, 51), datetime.datetime(2008, 2, 28, 7, 21), u'Networking: JAR', []]]"
CVE-2007-5960,0.8,2.0.0.9,[]
CVE-2007-5959,0.8,2.0.0.9,[]
CVE-2007-5947,2.0.0.1,2.0.0.9,"[[datetime.datetime(2007, 2, 8, 20, 51), datetime.datetime(2008, 2, 28, 7, 21), u'Networking: JAR', []]]"
CVE-2007-5896,2.0.0.9,2.0.0.9,[]
CVE-2007-5691,2.0.0.7,2.0.0.7,[]
CVE-2007-5459,2.0,2.0,[]
CVE-2007-5415,2.0,2.0,[]
CVE-2007-5414,1.8,1.8,[]
CVE-2007-5340,2.0.0.7,2.0.0.7,"[[None, None, None, []]]"
CVE-2007-5339,2.0.0.7,2.0.0.7,"[[None, None, None, []]]"
CVE-2007-5338,2.0.0.7,2.0.0.7,[]
CVE-2007-5337,2.0.0.7,2.0.0.7,"[[datetime.datetime(2007, 5, 18, 2, 57), datetime.datetime(2007, 7, 18, 15, 54), u'Security', []]]"
CVE-2007-5335,2.0.0.7,2.0.0.7,"[[datetime.datetime(2007, 8, 5, 0, 1), datetime.datetime(2007, 8, 7, 18, 58), u'Microsummaries', []]]"
CVE-2007-5334,2.0.0.7,2.0.0.7,"[[datetime.datetime(2007, 8, 5, 23, 32), datetime.datetime(2007, 8, 21, 7, 35), u'XUL', []]]"
CVE-2007-5045,2.0.0.6,2.0.0.6,"[[datetime.datetime(2007, 9, 12, 11, 11), datetime.datetime(2007, 9, 15, 4, 51), u'General', []]]"
CVE-2007-4879,0.1,2.0.0.12,"[[datetime.datetime(2007, 9, 7, 10, 24), datetime.datetime(2011, 4, 22, 18, 59), u'Security: PSM', []]]"
CVE-2007-4841,2.0.0.8,2.0.0.8,[]
CVE-2007-4357,2.0.0.6,2.0.0.6,[]
CVE-2007-4041,2.0.0.5,3.0,"[[datetime.datetime(2007, 7, 21, 12, 28), datetime.datetime(2007, 7, 24, 23, 3), u'Security', []], [datetime.datetime(2007, 7, 25, 12, 55), datetime.datetime(2007, 7, 30, 14, 56), u'File Handling', []]]"
CVE-2007-4038,2.0.0.4,2.0.0.4,[]
CVE-2007-4013,,,[]
CVE-2007-3845,2.0.0.5,2.0.0.5,"[[datetime.datetime(2007, 7, 21, 12, 28), datetime.datetime(2007, 7, 24, 23, 3), u'Security', []], [datetime.datetime(2007, 7, 25, 12, 55), datetime.datetime(2007, 7, 30, 14, 56), u'File Handling', []]]"
CVE-2007-3844,2.0.0.5,2.0.0.5,"[[datetime.datetime(2007, 7, 13, 21, 45), datetime.datetime(2007, 7, 15, 17, 13), u'DOM', []]]"
CVE-2007-3827,,,[]
CVE-2007-3738,2.0,2.0.0.4,[]
CVE-2007-3737,2.0,2.0.0.4,[]
CVE-2007-3736,2.0,2.0.0.4,[]
CVE-2007-3735,2.0,2.0.0.4,[]
CVE-2007-3734,2.0,2.0.0.4,[]
CVE-2007-3670,,,[]
CVE-2007-3657,2.0.0.4,2.0.0.4,[]
CVE-2007-3656,1.0,1.8,"[[datetime.datetime(2007, 7, 8, 14, 31), datetime.datetime(2007, 7, 8, 19, 7), u'Security', []]]"
