CVE,InitialVersion,FinalVersion,"['reportedDate', 'fixDate', 'component', 'versions']"
CVE-2008-5715,3.0.5,3.0.5,[]
CVE-2008-5513,2.0,3.0.4,[]
CVE-2008-5512,2.0,3.0.4,"[[datetime.datetime(2008, 11, 10, 20, 50), datetime.datetime(2008, 11, 19, 12, 21), u'XBL', []], [datetime.datetime(2008, 8, 21, 23, 55), datetime.datetime(2008, 12, 16, 0, 50), u'Security', []]]"
CVE-2008-5511,2.0,3.0.4,"[[datetime.datetime(2008, 11, 10, 20, 50), datetime.datetime(2008, 11, 19, 12, 21), u'XBL', []], [datetime.datetime(2008, 8, 21, 23, 55), datetime.datetime(2008, 12, 16, 0, 50), u'Security', []]]"
CVE-2008-5510,2.0,3.0.4,"[[datetime.datetime(2003, 12, 18, 3, 30), datetime.datetime(2008, 10, 27, 17, 32), u'CSS Parsing and Computation', []]]"
CVE-2008-5508,2.0,3.0.4,"[[datetime.datetime(2008, 10, 20, 11, 30), datetime.datetime(2008, 10, 21, 13, 22), u'Layout', []], [datetime.datetime(2008, 3, 25, 12, 19), datetime.datetime(2008, 3, 25, 13, 32), u'Networking', []]]"
CVE-2008-5507,2.0,3.0.4,"[[datetime.datetime(2008, 10, 26, 20, 28), datetime.datetime(2008, 12, 8, 6, 44), u'DOM', []]]"
CVE-2008-5506,2.0,3.0.4,"[[datetime.datetime(2008, 10, 2, 11, 21), datetime.datetime(2008, 12, 8, 6, 33), u'DOM', []]]"
CVE-2008-5505,3.0,3.0.4,"[[datetime.datetime(2005, 5, 30, 13, 24), datetime.datetime(2009, 1, 19, 17, 22), u'XUL', []]]"
CVE-2008-5504,2.0,2.0.0.18,"[[datetime.datetime(2008, 9, 3, 14, 11), datetime.datetime(2008, 11, 16, 6, 59), u'RSS Discovery and Preview', []]]"
CVE-2008-5503,2.0,2.0.0.18,"[[datetime.datetime(2007, 5, 7, 9, 30), datetime.datetime(2008, 11, 18, 18, 41), u'XBL', []]]"
CVE-2008-5502,2.0,3.0.4,"[[datetime.datetime(2008, 10, 5, 23, 51), datetime.datetime(2008, 11, 14, 20, 23), u'JavaScript Engine', []]]"
CVE-2008-5501,2.0,3.0.4,"[[datetime.datetime(2007, 9, 9, 22, 4), datetime.datetime(2007, 10, 2, 21, 30), u'Layout', []]]"
CVE-2008-5500,2.0,3.0.4,"[[datetime.datetime(2008, 11, 14, 15, 22), datetime.datetime(2008, 11, 14, 15, 29), u'XPCOM', []], [datetime.datetime(2008, 10, 20, 11, 30), datetime.datetime(2008, 10, 21, 13, 22), u'Layout', []]]"
CVE-2008-5052,0.8,3.0.3,"[[datetime.datetime(2008, 9, 7, 16, 15), datetime.datetime(2008, 11, 10, 9, 40), u'JavaScript Engine', []]]"
CVE-2008-5024,0.8,3.0.3,"[[datetime.datetime(2008, 9, 5, 17, 55), datetime.datetime(2008, 11, 10, 9, 28), u'JavaScript Engine', []]]"
CVE-2008-5023,0.8,3.0.3,"[[datetime.datetime(2008, 3, 23, 21, 39), datetime.datetime(2008, 10, 17, 18, 16), u'Security: CAPS', []]]"
CVE-2008-5022,0.8,3.0.3,"[[datetime.datetime(2008, 10, 15, 2, 18), datetime.datetime(2008, 11, 10, 9, 43), u'Security', []]]"
CVE-2008-5021,0.8,3.0.3,"[[datetime.datetime(2008, 10, 15, 2, 18), datetime.datetime(2008, 11, 10, 9, 43), u'Security', []]]"
CVE-2008-5019,2.0,3.0.3,"[[None, None, None, []]]"
CVE-2008-5018,0.8,3.0.3,"[[datetime.datetime(2008, 8, 29, 7, 34), datetime.datetime(2008, 10, 27, 10, 29), u'JavaScript Engine', []]]"
CVE-2008-5017,0.8,3.0.3,"[[datetime.datetime(2008, 9, 18, 19, 1), datetime.datetime(2008, 10, 24, 16, 38), u'XPCOM', []]]"
CVE-2008-5016,3.0,3.0.3,"[[None, None, None, []]]"
CVE-2008-5015,3.0,3.0.3,"[[datetime.datetime(2008, 7, 22, 22, 55), datetime.datetime(2008, 8, 21, 21, 45), u'Security: CAPS', []]]"
CVE-2008-5014,0.8,3.0.1,"[[datetime.datetime(2008, 5, 31, 20, 42), datetime.datetime(2008, 8, 8, 1, 14), u'JavaScript Engine', []]]"
CVE-2008-5013,0.8,2.0.0.17,"[[datetime.datetime(2008, 5, 13, 15, 32), datetime.datetime(2008, 8, 25, 21, 11), u'Plug-ins', []]]"
CVE-2008-5012,0.8,2.0.0.17,"[[datetime.datetime(2006, 10, 2, 6, 28), datetime.datetime(2008, 12, 9, 2, 31), u'Canvas: 2D', []], [datetime.datetime(2008, 8, 21, 13, 7), datetime.datetime(2009, 1, 5, 12, 38), u'Security', []]]"
CVE-2008-4723,3.0.1,3.0.3,[]
