CVE,InitialVersion,FinalVersion,"['reportedDate', 'fixDate', 'component', 'versions']"
CVE-2014-8632,33.0,33.0,"[[datetime.datetime(2014, 8, 7, 9, 23), datetime.datetime(2014, 8, 15, 15, 22), u'XPConnect', [u'(firefox33 wontfix', u' firefox34 fixed']]]"
CVE-2014-8631,33.0,33.0,"[[datetime.datetime(2012, 12, 13, 19, 10), datetime.datetime(2014, 8, 19, 23, 1), u'XPConnect', [u'(firefox34 fixed']]]"
CVE-2014-6492,-,-,[]
CVE-2014-1595,33.0,33.0,"[[datetime.datetime(2014, 11, 2, 14, 18), datetime.datetime(2014, 11, 13, 9, 54), u'Security', [u'(firefox33- wontfix', u' firefox34+ verified', u' firefox35+ verified', u' firefox36+ verified']]]"
CVE-2014-1594,33.0,33.0,"[[datetime.datetime(2014, 9, 29, 10, 13), datetime.datetime(2014, 10, 9, 13, 15), u'Graphics: Layers', [u'(firefox32 wontfix', u' firefox33- wontfix', u' firefox34+ fixed', u' firefox35- fixed']]]"
CVE-2014-1593,33.0,33.0,"[[datetime.datetime(2014, 10, 19, 15, 57), datetime.datetime(2014, 11, 10, 13, 38), u'Audio/Video', [u'(firefox34+ fixed', u' firefox35+ fixed', u' firefox36+ verified']]]"
CVE-2014-1592,33.0,33.0,"[[datetime.datetime(2014, 10, 24, 5, 35), datetime.datetime(2014, 11, 5, 8, 6), u'HTML: Parser', [u'(firefox33 wontfix', u' firefox34+ verified', u' firefox35+ verified', u' firefox36+ verified']]]"
CVE-2014-1591,33.0,33.0,"[[datetime.datetime(2014, 9, 18, 22, 23), datetime.datetime(2014, 10, 21, 10, 58), u'DOM: Security', [u'(firefox33 wontfix', u' firefox34+ verified', u' firefox35+ verified', u' firefox36+ verified']]]"
CVE-2014-1590,33.0,33.0,"[[datetime.datetime(2014, 10, 22, 14, 25), datetime.datetime(2014, 11, 2, 12, 8), u'DOM', [u'(firefox33 wontfix', u' firefox34+ verified', u' firefox35+ verified', u' firefox36+ verified']]]"
CVE-2014-1589,33.0,33.0,"[[datetime.datetime(2014, 7, 24, 21, 44), datetime.datetime(2014, 7, 24, 21, 44), u'XBL', [u'(firefox33 wontfix', u' firefox34 verified']]]"
CVE-2014-1588,33.0,33.0,"[[datetime.datetime(2014, 11, 9, 5, 22), datetime.datetime(2014, 11, 12, 14, 21), u'JavaScript Engine', [u'(firefox34 fixed', u' firefox35 fixed', u' firefox36 verified']], [datetime.datetime(2014, 10, 21, 11, 11), datetime.datetime(2014, 10, 24, 10, 27), u'JavaScript Engine: JIT', [u'(firefox33 wontfix', u' firefox34+ fixed', u' firefox35+ fixed', u' firefox36+ fixed']], [datetime.datetime(2014, 10, 3, 14, 18), datetime.datetime(2014, 11, 5, 10, 38), u'CSS Parsing and Computation', [u'(firefox33 wontfix', u' firefox34+ fixed', u' firefox35+ fixed', u' firefox36 fixed']], [datetime.datetime(2014, 10, 1, 7, 6), datetime.datetime(2014, 10, 3, 3, 47), u'JavaScript: GC', [u'(firefox32 wontfix', u' firefox33 wontfix', u' firefox34+ verified', u' firefox35 verified']], [datetime.datetime(2014, 9, 26, 9, 4), datetime.datetime(2014, 9, 26, 9, 42), u'JavaScript: GC', [u'(firefox32 wontfix', u' firefox33 wontfix', u' firefox34+ fixed', u' firefox35 fixed']], [datetime.datetime(2014, 9, 9, 5, 57), datetime.datetime(2014, 10, 8, 14, 15), u'JavaScript Engine', [u'(firefox33 wontfix', u' firefox34 verified', u' firefox35+ verified', u' firefox36+ verified']], [datetime.datetime(2014, 8, 4, 13, 47), datetime.datetime(2014, 8, 4, 15, 15), u'Audio/Video', [u'(firefox34 fixed']], [datetime.datetime(2014, 7, 12, 7, 59), datetime.datetime(2014, 8, 1, 22, 24), u'WebRTC: Audio/Video', [u'(firefox32 unaffected', u' firefox33 wontfix', u' firefox34 fixed']], [datetime.datetime(2014, 6, 10, 3, 17), datetime.datetime(2014, 8, 8, 12, 29), u'JavaScript Engine: JIT', [u'(firefox32 wontfix', u' firefox33 wontfix', u' firefox34 fixed', u' firefox35 fixed', u' firefox36 verified']], [datetime.datetime(2014, 6, 16, 11, 5), datetime.datetime(2016, 6, 4, 16, 0), u'WebRTC: Signaling', [u'(firefox33 wontfix', u' firefox34 fixed']], [datetime.datetime(2014, 5, 19, 17, 15), datetime.datetime(2014, 10, 27, 11, 59), u'JavaScript Engine: JIT', [u'(firefox32 wontfix', u' firefox33 wontfix', u' firefox34+ verified', u' firefox35+ verified', u' firefox36+ verified']]]"
CVE-2014-1587,33.0,33.0,"[[datetime.datetime(2014, 10, 25, 12, 40), datetime.datetime(2014, 11, 4, 15, 5), u'WebRTC: Signaling', [u'(firefox33 wontfix', u' firefox34 verified', u' firefox35 verified', u' firefox36 verified']], [datetime.datetime(2014, 10, 8, 18, 33), datetime.datetime(2014, 11, 12, 14, 34), u'WebRTC: Networking', [u'(firefox34+ fixed', u' firefox35+ fixed', u' firefox36+ fixed']], [datetime.datetime(2014, 9, 25, 2, 2), datetime.datetime(2014, 10, 14, 9, 18), u'Graphics', [u'(firefox33 wontfix', u' firefox34 verified', u' firefox35 verified', u' firefox36+ verified']], [datetime.datetime(2014, 7, 23, 2, 51), datetime.datetime(2014, 8, 28, 13, 49), u'JavaScript Engine', [u'(firefox33 wontfix', u' firefox34+ verified', u' firefox35+ verified', u' firefox36+ verified']], [datetime.datetime(2014, 10, 8, 1, 58), datetime.datetime(2014, 10, 9, 12, 24), u'WebRTC: Networking', [u'(firefox33 wontfix', u' firefox34+ verified', u' firefox35+ verified', u' firefox36+ verified']]]"
CVE-2014-1586,30.0,32.0,"[[datetime.datetime(2014, 9, 4, 10, 18), datetime.datetime(2014, 9, 5, 13, 4), u'WebRTC', [u'(firefox32 wontfix', u' firefox33+ verified', u' firefox34+ verified', u' firefox35 verified']]]"
CVE-2014-1585,30.0,32.0,"[[datetime.datetime(2014, 9, 4, 6, 47), datetime.datetime(2014, 9, 5, 10, 46), u'WebRTC', [u'(firefox32 wontfix', u' firefox33+ verified', u' firefox34+ verified', u' firefox35+ verified']]]"
CVE-2014-1584,30.0,32.0,"[[datetime.datetime(2014, 9, 11, 10, 39), datetime.datetime(2014, 9, 12, 13, 25), u'Security: PSM', [u'(firefox32+ wontfix', u' firefox33+ verified', u' firefox34+ verified', u' firefox35+ verified']]]"
