CVE,InitialVersion,FinalVersion,"['reportedDate', 'fixDate', 'component', 'versions']"
CVE-2013-6673,0.1,25.0.1,"[[datetime.datetime(2013, 9, 17, 9, 39), datetime.datetime(2013, 12, 2, 8, 36), u'Security: PSM', [u'(firefox24 wontfix', u' firefox25- wontfix', u' firefox26+ verified', u' firefox27+ verified', u' firefox28+ verified']]]"
CVE-2013-6672,0.1,25.0.1,"[[datetime.datetime(2013, 7, 16, 18, 47), datetime.datetime(2013, 7, 29, 7, 27), u'DOM: Core & HTML', [u'(firefox22 wontfix', u' firefox23- wontfix', u' firefox24- wontfix', u' firefox25- wontfix', u' firefox26- verified']]]"
CVE-2013-6671,0.1,25.0.1,"[[datetime.datetime(2013, 10, 23, 15, 54), datetime.datetime(2013, 10, 31, 7, 55), u'HTML: Parser', [u'(firefox25 wontfix', u' firefox26+ verified', u' firefox27+ verified', u' firefox28+ verified']]]"
CVE-2013-5619,0.1,25.0.1,"[[datetime.datetime(2013, 9, 18, 7, 55), datetime.datetime(2013, 9, 23, 16, 50), u'JavaScript Engine', [u'(firefox24 wontfix', u' firefox25 wontfix', u' firefox26+ fixed', u' firefox27+ fixed']]]"
CVE-2013-5618,0.1,25.0.1,"[[datetime.datetime(2013, 10, 14, 3, 47), datetime.datetime(2013, 10, 14, 13, 16), u'Editor', [u'(firefox24 wontfix', u' firefox25 wontfix', u' firefox26+ fixed', u' firefox27+ fixed']]]"
CVE-2013-5616,0.1,25.0.1,"[[datetime.datetime(2013, 11, 13, 13, 58), datetime.datetime(2013, 11, 14, 14, 56), u'Event Handling', [u'(firefox25 wontfix', u' firefox26+ verified', u' firefox27+ verified', u' firefox28+ verified']]]"
CVE-2013-5615,0.1,25.0.1,"[[datetime.datetime(2013, 10, 21, 17, 20), datetime.datetime(2013, 12, 2, 19, 3), u'JavaScript Engine: JIT', [u'(firefox24 wontfix', u' firefox25 wontfix', u' firefox26 fixed', u' firefox27 fixed', u' firefox28 fixed']]]"
CVE-2013-5614,0.1,25.0.1,"[[datetime.datetime(2013, 6, 24, 3, 18), datetime.datetime(2013, 8, 6, 8, 16), u'Document Navigation', [u'(firefox26 verified']]]"
CVE-2013-5613,0.1,25.0.1,"[[datetime.datetime(2013, 10, 23, 22, 16), datetime.datetime(2013, 10, 30, 8, 3), u'Layout', [u'(firefox25 wontfix', u' firefox26+ fixed', u' firefox27+ fixed', u' firefox28+ fixed']], [datetime.datetime(2013, 10, 29, 12, 34), datetime.datetime(2013, 10, 29, 12, 35), u'DOM: Events', [u'(firefox25 wontfix', u' firefox26 verified', u' firefox27 verified', u' firefox28+ verified']]]"
CVE-2013-5612,0.1,25.0.1,"[[datetime.datetime(2013, 5, 11, 8, 5), datetime.datetime(2013, 10, 29, 7, 4), u'DOM: Core & HTML', [u'(firefox25 wontfix', u' firefox26+ verified', u' firefox27+ verified']]]"
CVE-2013-5611,0.1,25.0.1,"[[datetime.datetime(2012, 7, 5, 13, 10), datetime.datetime(2013, 8, 5, 9, 40), u'Web Apps', []]]"
CVE-2013-5610,0.1,25.0.1,"[[datetime.datetime(2013, 8, 15, 19, 55), datetime.datetime(2013, 12, 3, 7, 44), u'JavaScript Engine', [u'(firefox23 unaffected', u' firefox24 wontfix', u' firefox25 wontfix', u' firefox26+ fixed', u' firefox27 fixed']], [datetime.datetime(2013, 7, 4, 20, 35), datetime.datetime(2013, 9, 18, 15, 21), u'Canvas: WebGL', [u'(firefox25- wontfix', u' firefox26- verified', u' firefox27 verified']]]"
CVE-2013-5609,0.1,25.0.1,"[[datetime.datetime(2013, 11, 12, 4, 58), datetime.datetime(2013, 11, 25, 15, 48), u'Networking', [u'(firefox25 wontfix', u' firefox26+ fixed', u' firefox27+ fixed', u' firefox28+ verified']], [datetime.datetime(2013, 9, 30, 2, 34), datetime.datetime(2013, 10, 8, 8, 57), u'XPConnect', [u'(firefox24 wontfix', u' firefox25 wontfix', u' firefox26 fixed', u' firefox27 verified']], [datetime.datetime(2013, 8, 14, 14, 14), datetime.datetime(2013, 11, 4, 15, 23), u'DOM', [u'(firefox25 wontfix', u' firefox26+ fixed', u' firefox27+ fixed', u' firefox28+ fixed']], [datetime.datetime(2013, 6, 25, 9, 12), datetime.datetime(2013, 8, 1, 15, 32), u'JavaScript Engine', [u'(firefox23 unaffected', u' firefox24- wontfix', u' firefox25+ wontfix', u' firefox26- fixed']]]"
CVE-2013-5607,19.0,25.0,"[[datetime.datetime(2013, 10, 16, 18, 28), datetime.datetime(2013, 10, 28, 17, 21), u'NSPR', [u'(firefox25 fixed', u' firefox26+ verified', u' firefox27+ verified', u' firefox28+ verified']]]"
CVE-2013-5604,19.0,24.0,"[[datetime.datetime(2013, 9, 8, 21, 45), datetime.datetime(2013, 10, 16, 5, 22), u'XSLT', [u'(firefox25 verified', u' firefox26 verified', u' firefox27 verified']]]"
CVE-2013-5603,19.0,24.0,"[[datetime.datetime(2013, 9, 13, 21, 47), datetime.datetime(2013, 9, 23, 8, 28), u'DOM', [u'(firefox24 wontfix', u' firefox25+ fixed', u' firefox26+ fixed', u' firefox27+ verified']]]"
CVE-2013-5602,19.0,24.0,"[[datetime.datetime(2013, 7, 24, 14, 9), datetime.datetime(2013, 10, 18, 2, 6), u'JavaScript Engine', [u'(firefox23 wontfix', u' firefox24 wontfix', u' firefox25+ verified', u' firefox26+ verified']]]"
CVE-2013-5601,19.0,24.0,"[[datetime.datetime(2013, 9, 16, 0, 32), datetime.datetime(2013, 9, 25, 18, 52), u'DOM: Events', [u'(firefox24 wontfix', u' firefox25+ fixed', u' firefox26+ fixed', u' firefox27+ verified']]]"
CVE-2013-5600,19.0,24.0,"[[datetime.datetime(2013, 9, 15, 7, 48), datetime.datetime(2013, 10, 10, 13, 33), u'DOM', [u'(firefox24 wontfix', u' firefox25 verified', u' firefox26 verified', u' firefox27+ verified']]]"
CVE-2013-5599,19.0,24.0,"[[datetime.datetime(2013, 9, 11, 8, 16), datetime.datetime(2013, 9, 11, 8, 47), u'Canvas: 2D', [u'(firefox23 wontfix', u' firefox24 wontfix', u' firefox25+ verified', u' firefox26+ verified', u' firefox27+ verified']]]"
CVE-2013-5598,19.0,24.0,"[[datetime.datetime(2013, 9, 25, 6, 37), datetime.datetime(2013, 10, 17, 17, 10), u'PDF Viewer', [u'(firefox24 wontfix', u' firefox25+ verified', u' firefox26+ verified', u' firefox27+ verified']]]"
CVE-2013-5597,19.0,24.0,"[[datetime.datetime(2013, 9, 20, 9, 3), datetime.datetime(2013, 9, 26, 17, 13), u'DOM', [u'(firefox24 wontfix', u' firefox25+ verified', u' firefox26+ verified', u' firefox27+ verified']]]"
CVE-2013-5596,19.0,24.0,"[[datetime.datetime(2013, 8, 29, 13, 40), datetime.datetime(2013, 9, 9, 18, 22), u'ImageLib', [u'(firefox24 wontfix', u' firefox25+ fixed', u' firefox26+ fixed', u' firefox27 fixed']]]"
CVE-2013-5595,19.0,24.0,"[[datetime.datetime(2013, 9, 15, 8, 13), datetime.datetime(2013, 10, 17, 15, 44), u'JavaScript Engine', [u'(firefox24 wontfix', u' firefox25+ fixed', u' firefox26+ fixed', u' firefox27+ fixed']]]"
CVE-2013-5593,19.0,24.0,"[[datetime.datetime(2013, 5, 3, 1, 28), datetime.datetime(2013, 7, 24, 15, 59), u'Layout', [u'(firefox25 verified']]]"
