CVE,InitialVersion,FinalVersion,"['reportedDate', 'fixDate', 'component', 'versions']"
CVE-2016-7153,,,[]
CVE-2016-7152,,,[]
CVE-2016-5284,48.0.2,48.0.2,"[[datetime.datetime(2016, 9, 15, 12, 14), datetime.datetime(2016, 9, 21, 15, 54), u'Security: PSM', [u'(firefox48 wontfix', u' firefox49 fixed', u' firefox50 fixed', u' firefox51 fixed)']]]"
CVE-2016-5283,48.0.2,48.0.2,"[[datetime.datetime(2013, 10, 17, 17, 4), datetime.datetime(2017, 2, 9, 7, 55), u'Layout', [u'(firefox47+ wontfix', u' firefox48 wontfix', u' firefox49 fixed', u' firefox50 fixed)']]]"
CVE-2016-5282,48.0.2,48.0.2,"[[datetime.datetime(2013, 10, 29, 8, 44), datetime.datetime(2016, 5, 23, 21, 56), u'Favicon Handling', [u'(firefox25 ?', u' firefox26 ?', u' firefox27 affected', u' firefox49 fixed)']]]"
CVE-2016-5281,48.0.2,48.0.2,"[[datetime.datetime(2016, 7, 5, 16, 16), datetime.datetime(2016, 7, 26, 10, 4), u'DOM', [u'(firefox47 wontfix', u' firefox48- wontfix', u' firefox49+ fixed', u' firefox50+ fixed)']]]"
CVE-2016-5280,48.0.2,48.0.2,"[[datetime.datetime(2016, 7, 27, 19, 54), datetime.datetime(2016, 8, 12, 16, 18), u'DOM: Core & HTML', [u'(firefox48 wontfix', u' firefox49+ verified', u' firefox50+ verified', u' firefox51+ verified)']]]"
CVE-2016-5279,48.0.2,48.0.2,"[[datetime.datetime(2016, 2, 18, 20, 14), datetime.datetime(2016, 4, 29, 12, 31), u'Drag and Drop', [u'(firefox49 verified)']]]"
CVE-2016-5278,48.0.2,48.0.2,"[[datetime.datetime(2016, 8, 12, 5, 55), datetime.datetime(2016, 8, 18, 14, 17), u'Canvas: 2D', [u'(firefox48 wontfix', u' firefox49+ verified', u' firefox50+ verified', u' firefox51+ verified)']]]"
CVE-2016-5277,48.0.2,48.0.2,"[[datetime.datetime(2016, 8, 3, 4, 48), datetime.datetime(2016, 8, 16, 19, 54), u'DOM: Animation', [u'(firefox48 wontfix', u' firefox49+ verified', u' firefox50+ verified', u' firefox51+ verified)']]]"
CVE-2016-5276,48.0.2,48.0.2,"[[datetime.datetime(2016, 7, 19, 2, 2), datetime.datetime(2016, 8, 23, 11, 40), u'Disability Access APIs', [u'(firefox48 wontfix', u' firefox49+ verified', u' firefox50+ verified', u' firefox51+ fixed)']]]"
CVE-2016-5275,48.0.2,48.0.2,"[[datetime.datetime(2016, 7, 17, 1, 32), datetime.datetime(2016, 8, 26, 8, 52), u'Canvas: 2D', [u'(firefox47 wontfix', u' firefox48 wontfix', u' firefox49+ fixed', u' firefox50+ fixed', u' firefox51 fixed)']]]"
CVE-2016-5274,48.0.2,48.0.2,"[[datetime.datetime(2016, 6, 24, 7, 10), datetime.datetime(2016, 9, 21, 23, 46), u'DOM: Animation', [u'(firefox47+ wontfix', u' firefox48+ wontfix', u' firefox49+ verified', u' firefox50+ verified)']]]"
CVE-2016-5273,48.0.2,48.0.2,"[[datetime.datetime(2016, 6, 16, 2, 42), datetime.datetime(2017, 3, 29, 0, 49), u'Disability Access APIs', [u'(firefox47 wontfix', u' firefox48 affected', u' firefox49 verified', u' firefox50 verified)']]]"
CVE-2016-5272,48.0.2,48.0.2,"[[datetime.datetime(2016, 8, 24, 21, 36), datetime.datetime(2016, 8, 25, 15, 37), u'Layout', [u'(firefox48 wontfix', u' firefox49+ verified', u' firefox50+ verified', u' firefox51+ verified)']]]"
CVE-2016-5271,48.0.2,48.0.2,"[[datetime.datetime(2016, 7, 23, 22, 40), datetime.datetime(2016, 8, 16, 12, 3), u'Layout: Text', [u'(firefox48 wontfix', u' firefox49 verified', u' firefox50 verified', u' firefox51 verified)']]]"
CVE-2016-5270,48.0.2,48.0.2,"[[datetime.datetime(2016, 8, 1, 14, 2), datetime.datetime(2016, 8, 23, 19, 46), u'Layout: Text', [u'(firefox48 wontfix', u' firefox49+ fixed', u' firefox50+ verified', u' firefox51+ verified)']]]"
CVE-2016-5268,47.0.1,47.0.1,"[[datetime.datetime(2016, 3, 4, 10, 27), datetime.datetime(2016, 4, 14, 9, 4), u'Networking', [u'(firefox48 fixed)']]]"
CVE-2016-5267,47.0.1,47.0.1,"[[datetime.datetime(2016, 7, 4, 19, 42), datetime.datetime(2016, 7, 6, 5, 11), u'General', [u'(firefox47 wontfix', u' firefox48+ verified', u' firefox49+ verified', u' firefox50+ verified)']]]"
CVE-2016-5266,47.0.1,47.0.1,"[[datetime.datetime(2015, 11, 22, 11, 3), datetime.datetime(2016, 4, 19, 12, 20), u'Drag and Drop', [u'(firefox48 fixed)']]]"
CVE-2016-5265,47.0.1,47.0.1,"[[datetime.datetime(2016, 6, 3, 18, 6), datetime.datetime(2016, 6, 22, 8, 20), u'Networking: File', [u'(firefox46 wontfix', u' firefox47 wontfix', u' firefox48 fixed', u' firefox49 fixed', u' firefox50 fixed)']]]"
CVE-2016-5264,47.0.1,47.0.1,"[[datetime.datetime(2016, 7, 12, 1, 33), datetime.datetime(2016, 7, 14, 16, 48), u'DOM', [u'(firefox47 wontfix', u' firefox48+ verified', u' firefox49+ verified', u' firefox50+ verified)']]]"
CVE-2016-5263,47.0.1,47.0.1,"[[datetime.datetime(2016, 5, 31, 5, 5), datetime.datetime(2016, 5, 31, 18, 32), u'Layout', [u'(firefox47 wontfix', u' firefox48+ verified', u' firefox49+ verified', u' firefox50+ verified)']]]"
CVE-2016-5262,47.0.1,47.0.1,"[[datetime.datetime(2016, 6, 2, 0, 56), datetime.datetime(2016, 6, 8, 5, 16), u'DOM: Security', [u'(firefox48 verified', u' firefox49 verified', u' firefox50 verified)']]]"
CVE-2016-5261,47.0.1,47.0.1,"[[datetime.datetime(2016, 7, 16, 3, 33), datetime.datetime(2016, 7, 20, 5, 5), u'Networking: WebSockets', [u'(firefox47 wontfix', u' firefox48 fixed', u' firefox49 fixed', u' firefox50 fixed)']]]"
CVE-2016-5260,47.0.1,47.0.1,"[[datetime.datetime(2016, 6, 15, 10, 2), datetime.datetime(2016, 6, 29, 13, 42), u'Session Restore', [u'(firefox48+ fixed', u' firefox49+ fixed', u' firefox50 fixed)']]]"
CVE-2016-5259,47.0.1,47.0.1,"[[datetime.datetime(2016, 6, 28, 18, 24), datetime.datetime(2016, 6, 30, 20, 23), u'DOM: Workers', [u'(firefox47 wontfix', u' firefox48+ verified', u' firefox49+ verified', u' firefox50+ verified)']]]"
CVE-2016-5258,47.0.1,47.0.1,"[[datetime.datetime(2016, 6, 8, 22, 58), datetime.datetime(2016, 7, 11, 11, 47), u'WebRTC', [u'(firefox47 wontfix', u' firefox48+ verified', u' firefox49+ fixed', u' firefox50+ verified)']]]"
CVE-2016-5257,48.0.2,48.0.2,"[[datetime.datetime(2016, 8, 11, 5, 21), datetime.datetime(2016, 8, 11, 17, 44), u'WebRTC', [u'(firefox48 wontfix', u' firefox49+ fixed', u' firefox50+ fixed', u' firefox51+ fixed)']], [datetime.datetime(2016, 8, 10, 8, 38), datetime.datetime(2016, 8, 23, 7, 54), u'WebRTC: Networking', [u'(firefox48 wontfix', u' firefox49+ verified', u' firefox50+ verified', u' firefox51+ verified)']], [datetime.datetime(2016, 8, 8, 10, 42), datetime.datetime(2016, 8, 11, 9, 3), u'Networking', [u'(firefox48 wontfix', u' firefox49+ fixed', u' firefox50+ fixed', u' firefox51+ fixed)']], [datetime.datetime(2016, 6, 1, 3, 33), datetime.datetime(2016, 8, 8, 3, 42), u'Networking: HTTP', [u'(firefox47 wontfix', u' firefox48+ wontfix', u' firefox49+ verified', u' firefox50+ verified)']], [datetime.datetime(2016, 7, 15, 13, 59), datetime.datetime(2016, 7, 21, 9, 59), u'DOM', [u'(firefox48 wontfix', u' firefox49+ fixed', u' firefox50+ fixed', u' firefox51 fixed)']], [datetime.datetime(2016, 7, 21, 15, 23), datetime.datetime(2016, 7, 28, 13, 34), u'JavaScript Engine', [u'(firefox47 wontfix', u' firefox48 wontfix', u' firefox49+ fixed', u' firefox50+ fixed', u' firefox51 fixed)']], [datetime.datetime(2016, 7, 21, 19, 45), datetime.datetime(2016, 8, 13, 1, 52), u'ImageLib', [u'(firefox48- wontfix', u' firefox49+ fixed', u' firefox50+ fixed', u' firefox51+ fixed)']], [datetime.datetime(2016, 7, 22, 9, 59), datetime.datetime(2016, 8, 3, 2, 26), u'JavaScript: GC', [u'(firefox48 wontfix', u' firefox49+ fixed', u' firefox50+ fixed)']], [datetime.datetime(2016, 7, 25, 21, 49), datetime.datetime(2016, 8, 3, 18, 52), u'Audio/Video: Playback', [u'(firefox48 wontfix', u' firefox49+ fixed', u' firefox50+ fixed', u' firefox51+ fixed)']]]"
CVE-2016-5256,48.0.2,48.0.2,"[[datetime.datetime(2016, 8, 22, 8, 15), datetime.datetime(2016, 8, 24, 0, 3), u'Audio/Video: MediaStreamGraph', [u'(firefox48 wontfix', u' firefox49+ fixed', u' firefox50+ fixed', u' firefox51+ fixed)']], [datetime.datetime(2016, 8, 17, 13, 52), datetime.datetime(2016, 8, 17, 13, 55), u'JavaScript Engine: JIT', [u'(firefox48 wontfix', u' firefox49+ fixed', u' firefox50+ fixed', u' firefox51+ fixed)']], [datetime.datetime(2016, 8, 17, 13, 27), datetime.datetime(2016, 8, 17, 13, 29), u'Audio/Video', [u'(firefox48 wontfix', u' firefox49 fixed', u' firefox50 fixed', u' firefox51 fixed)']], [datetime.datetime(2016, 7, 28, 13, 27), datetime.datetime(2016, 8, 24, 13, 30), u'Graphics: Layers', [u'(firefox49 fixed', u' firefox50 unaffected', u' firefox51 unaffected)']], [datetime.datetime(2016, 6, 28, 4, 37), datetime.datetime(2016, 7, 20, 14, 49), u'JavaScript Engine', [u'(firefox47 wontfix', u' firefox48 wontfix', u' firefox49+ fixed', u' firefox50+ fixed', u' firefox51+ fixed)']], [datetime.datetime(2016, 5, 27, 22, 13), datetime.datetime(2016, 5, 27, 22, 55), u'ImageLib', [u'(firefox47 wontfix', u' firefox48 wontfix', u' firefox49 fixed']], [datetime.datetime(2016, 4, 27, 7, 33), datetime.datetime(2016, 5, 18, 9, 25), u'JavaScript Engine', [u'(firefox47 unaffected', u' firefox48 wontfix', u' firefox49 verified']]]"
CVE-2016-5255,47.0.1,47.0.1,"[[datetime.datetime(2015, 10, 7, 7, 37), datetime.datetime(2016, 7, 12, 5, 36), u'JavaScript: GC', [u'(firefox47 wontfix', u' firefox48- verified', u' firefox49- verified', u' firefox50+ verified)']]]"
