CVE,InitialVersion,FinalVersion,"['reportedDate', 'fixDate', 'component', 'versions']"
CVE-2009-4130,,,[]
CVE-2009-4129,,,[]
CVE-2009-4102,,,[]
CVE-2009-3987,0.1,3.5.5,"[[datetime.datetime(2009, 7, 9, 18, 57), datetime.datetime(2009, 8, 27, 14, 9), u'XPConnect', []]]"
CVE-2009-3986,0.1,3.5.5,"[[datetime.datetime(2009, 10, 14, 23, 43), datetime.datetime(2009, 10, 20, 15, 33), u'DOM', []]]"
CVE-2009-3985,0.1,3.5.5,"[[datetime.datetime(2009, 9, 2, 10, 52), datetime.datetime(2009, 11, 18, 12, 33), u'Document Navigation', []]]"
CVE-2009-3984,0.1,3.5.5,"[[datetime.datetime(2009, 10, 9, 12, 9), datetime.datetime(2009, 11, 30, 1, 27), u'Security: UI', []]]"
CVE-2009-3983,0.1,3.5.5,"[[datetime.datetime(2009, 4, 10, 15, 50), datetime.datetime(2009, 11, 30, 1, 23), u'Networking: HTTP', []]]"
CVE-2009-3982,3.5.1,3.5.5,"[[datetime.datetime(2009, 10, 23, 8, 11), datetime.datetime(2009, 11, 9, 8, 0), u'JavaScript Engine', []], [datetime.datetime(2009, 9, 6, 23, 4), datetime.datetime(2009, 11, 4, 14, 31), u'JavaScript Engine', []], [datetime.datetime(2009, 8, 14, 8, 46), datetime.datetime(2009, 11, 5, 11, 53), u'JavaScript Engine', []], [datetime.datetime(2009, 9, 1, 12, 22), datetime.datetime(2009, 11, 4, 14, 20), u'JavaScript Engine', []]]"
CVE-2009-3981,0.1,3.0.15,"[[datetime.datetime(2008, 12, 9, 21, 4), datetime.datetime(2009, 2, 10, 3, 36), u'Layout', []]]"
CVE-2009-3980,3.5.1,3.5.5,"[[datetime.datetime(2009, 6, 1, 15, 20), datetime.datetime(2009, 10, 12, 8, 12), u'Layout', []], [datetime.datetime(2008, 12, 19, 14, 41), datetime.datetime(2009, 11, 8, 16, 11), u'Widget: Win32', []]]"
CVE-2009-3979,0.1,3.5.5,"[[datetime.datetime(2009, 7, 24, 8, 21), datetime.datetime(2009, 10, 2, 18, 49), u'Layout: Tables', []], [datetime.datetime(2009, 10, 14, 16, 3), datetime.datetime(2009, 10, 16, 16, 35), u'Layout', []], [datetime.datetime(2009, 9, 13, 4, 55), datetime.datetime(2009, 11, 4, 6, 33), u'XUL', []], [datetime.datetime(2009, 9, 10, 16, 21), datetime.datetime(2009, 9, 15, 0, 41), u'Layout', []], [datetime.datetime(2009, 2, 23, 21, 15), datetime.datetime(2009, 11, 3, 23, 16), u'XP Toolkit/Widgets: XUL', []], [datetime.datetime(2009, 5, 23, 13, 37), datetime.datetime(2009, 6, 6, 20, 40), u'XUL', []], [datetime.datetime(2008, 9, 28, 1, 41), datetime.datetime(2009, 10, 17, 19, 4), u'Layout: Floats', []], [datetime.datetime(2005, 5, 8, 4, 56), datetime.datetime(2009, 11, 16, 18, 51), u'XSLT', []]]"
CVE-2009-3978,0.1,3.5.4,"[[datetime.datetime(2009, 10, 29, 14, 33), datetime.datetime(2009, 11, 2, 7, 24), u'ImageLib', []]]"
CVE-2009-3389,3.5.1,3.5.5,"[[datetime.datetime(2009, 9, 10, 22, 37), datetime.datetime(2010, 1, 24, 10, 24), u'Audio/Video', []], [datetime.datetime(2009, 7, 16, 11, 11), datetime.datetime(2009, 9, 14, 22, 55), u'Audio/Video', []]]"
CVE-2009-3388,3.5.1,3.5.5,"[[datetime.datetime(2009, 10, 22, 5, 52), datetime.datetime(2009, 10, 23, 12, 57), u'Audio/Video', []], [datetime.datetime(2009, 7, 17, 10, 38), datetime.datetime(2009, 9, 27, 22, 32), u'Audio/Video', []]]"
CVE-2009-3383,3.5.1,3.5.3,"[[datetime.datetime(2009, 9, 24, 14, 31), datetime.datetime(2009, 9, 24, 14, 44), u'JavaScript Engine', []], [datetime.datetime(2009, 8, 17, 14, 49), datetime.datetime(2009, 8, 21, 8, 22), u'JavaScript Engine', []]]"
CVE-2009-3382,3.0.1,3.0.14,"[[datetime.datetime(2009, 9, 6, 12, 52), datetime.datetime(2009, 9, 7, 13, 10), u'Layout', []]]"
CVE-2009-3381,3.5.1,3.5.3,"[[datetime.datetime(2009, 8, 3, 10, 35), datetime.datetime(2009, 8, 28, 17, 18), u'ImageLib', []], [datetime.datetime(2009, 9, 15, 7, 57), datetime.datetime(2009, 9, 17, 2, 2), u'Graphics', []], [datetime.datetime(2009, 8, 28, 18, 20), datetime.datetime(2009, 9, 2, 14, 23), u'Layout', []], [datetime.datetime(2009, 7, 8, 15, 55), datetime.datetime(2009, 7, 20, 8, 15), u'Widget: Cocoa', []], [datetime.datetime(2009, 7, 3, 0, 54), datetime.datetime(2009, 8, 13, 13, 40), u'Layout', []]]"
CVE-2009-3380,3.0.1,3.5.3,"[[datetime.datetime(2009, 10, 13, 7, 30), datetime.datetime(2009, 10, 13, 22, 44), u'XUL', []], [datetime.datetime(2009, 9, 4, 15, 11), datetime.datetime(2009, 9, 15, 1, 58), u'ImageLib', []], [datetime.datetime(2009, 8, 8, 13, 32), datetime.datetime(2009, 9, 16, 16, 25), u'Graphics', []], [datetime.datetime(2009, 8, 10, 16, 25), datetime.datetime(2009, 8, 21, 23, 43), u'Layout', []], [datetime.datetime(2009, 8, 6, 17, 25), datetime.datetime(2009, 8, 25, 18, 40), u'XUL', []], [datetime.datetime(2009, 6, 8, 17, 39), datetime.datetime(2009, 7, 27, 19, 0), u'HTML: Parser', []], [datetime.datetime(2009, 4, 23, 18, 16), datetime.datetime(2009, 9, 8, 13, 55), u'XBL', []], [datetime.datetime(2008, 9, 11, 13, 22), datetime.datetime(2009, 8, 24, 17, 16), u'Layout: View Rendering', []]]"
CVE-2009-3379,3.5.1,3.5.3,"[[datetime.datetime(2009, 9, 10, 23, 12), datetime.datetime(2009, 11, 9, 18, 35), u'Audio/Video', []], [datetime.datetime(2009, 7, 29, 9, 57), datetime.datetime(2009, 10, 1, 21, 19), u'Audio/Video', []], [datetime.datetime(2009, 6, 29, 19, 52), datetime.datetime(2009, 8, 3, 22, 38), u'Audio/Video', []], [datetime.datetime(2009, 6, 24, 12, 3), datetime.datetime(2009, 7, 14, 16, 50), u'Audio/Video', []], [datetime.datetime(2009, 6, 20, 15, 32), datetime.datetime(2009, 6, 21, 9, 45), u'Audio/Video', []]]"
CVE-2009-3378,3.5.1,3.5.3,"[[datetime.datetime(2009, 6, 24, 15, 35), datetime.datetime(2009, 9, 10, 18, 30), u'Audio/Video', []]]"
CVE-2009-3377,3.5,3.5.3,"[[datetime.datetime(2009, 8, 24, 14, 20), datetime.datetime(2009, 9, 29, 21, 59), u'Audio/Video', []], [datetime.datetime(2009, 9, 9, 8, 20), datetime.datetime(2009, 10, 18, 1, 24), u'Audio/Video', []]]"
