CVE,InitialVersion,FinalVersion,"['reportedDate', 'fixDate', 'component', 'versions']"
CVE-2006-6585,2,3,[]
CVE-2006-6585,2,3,[]
CVE-2006-6507,2,2,[]
CVE-2006-6506,2,2,[]
CVE-2006-6504,1.5.0.8,2,[]
CVE-2006-6503,1.5.0.8,2,[]
CVE-2006-6502,1.5,2,[]
CVE-2006-6501,1.5.0.8,2,[]
CVE-2006-6500,1.5.0.8,2,[]
CVE-2006-6499,1.5.0.8,2,[]
CVE-2006-6498,1.5,2,[]
CVE-2006-6497,1.5.0.8,2,[]
CVE-2006-6077,1.5,2,"[[datetime.datetime(2006, 11, 12, 13, 34), datetime.datetime(2007, 3, 9, 7, 56), u'Password Manager', []]]"
CVE-2006-5783,1.5.0.7,1.5.0.7,[]
CVE-2006-5748,1.5,1.5.0.7,"[[datetime.datetime(2006, 9, 25, 8, 48), datetime.datetime(2006, 10, 11, 5, 30), u'JavaScript Engine', []], [datetime.datetime(2006, 9, 25, 10, 12), datetime.datetime(2006, 10, 31, 17, 11), u'JavaScript Engine', []], [datetime.datetime(2006, 9, 18, 8, 29), datetime.datetime(2006, 10, 9, 14, 43), u'JavaScript Engine', []], [datetime.datetime(2006, 9, 13, 19, 32), datetime.datetime(2006, 9, 26, 16, 5), u'JavaScript Engine', []], [datetime.datetime(2006, 9, 11, 21, 5), datetime.datetime(2006, 9, 14, 4, 40), u'JavaScript Engine', []], [datetime.datetime(2006, 9, 9, 14, 21), datetime.datetime(2006, 9, 14, 4, 29), u'JavaScript Engine', []], [datetime.datetime(2006, 9, 1, 18, 13), datetime.datetime(2006, 9, 2, 0, 1), u'JavaScript Engine', []], [datetime.datetime(2006, 8, 25, 15, 48), datetime.datetime(2006, 9, 7, 6, 35), u'JavaScript Engine', []], [datetime.datetime(2006, 8, 21, 7, 54), datetime.datetime(2006, 9, 26, 15, 11), u'JavaScript Engine', []]]"
CVE-2006-5747,1.5,1.5.0.7,"[[datetime.datetime(2006, 10, 5, 13, 2), datetime.datetime(2006, 10, 9, 7, 21), u'JavaScript Engine', []]]"
CVE-2006-5633,1.5.0.7,2,"[[datetime.datetime(2006, 10, 30, 11, 57), datetime.datetime(2006, 11, 13, 11, 33), u'DOM: Core & HTML', []]]"
CVE-2006-5464,1.5,1.5.0.7,"[[datetime.datetime(2006, 9, 4, 13, 7), datetime.datetime(2007, 10, 26, 5, 11), u'Layout: Tables', []], [datetime.datetime(2005, 9, 27, 21, 48), datetime.datetime(2006, 11, 12, 13, 5), u'Layout: Text', []], [datetime.datetime(2006, 8, 27, 5, 21), datetime.datetime(2006, 8, 27, 20, 46), u'Layout', []], [datetime.datetime(2005, 9, 9, 16, 21), datetime.datetime(2005, 10, 5, 18, 2), u'Layout', []]]"
CVE-2006-5463,1.5,1.5.0.7,"[[datetime.datetime(2006, 10, 5, 23, 17), datetime.datetime(2007, 4, 27, 17, 52), u'JavaScript Engine', []]]"
CVE-2006-5462,1.5,1.5.0.7,"[[datetime.datetime(2006, 10, 10, 15, 0), datetime.datetime(2006, 10, 14, 21, 2), u'Libraries', []]]"
CVE-2006-5160,0.8,Preview Release,[]
CVE-2006-5159,0.8,Preview Release,[]
CVE-2006-4569,1.5.0.6,1.5.0.6,[]
CVE-2006-4568,1.5.0.6,1.5.0.6,"[[datetime.datetime(2006, 6, 29, 12, 7), datetime.datetime(2006, 6, 30, 17, 1), u'Security', []]]"
CVE-2006-4567,1.5.0.6,1.5.0.6,[]
CVE-2006-4566,1.5.0.6,1.5.0.6,[]
CVE-2006-4565,1.5.0.6,1.5.0.6,[]
CVE-2006-4561,1.5.0.6,1.5.0.6,[]
CVE-2006-4340,1.5.0.6,1.5.0.6,[]
CVE-2006-4310,1.5.0.6,1.5.0.6,[]
CVE-2006-4253,0.8,1.5.0.6,"[[datetime.datetime(2006, 8, 13, 5, 30), datetime.datetime(2006, 8, 13, 14, 44), u'Layout', []]]"
CVE-2006-3812,1.5,1.5.0.4,[]
CVE-2006-3811,1.5,1.5.0.4,[]
CVE-2006-3810,1.5,1.5.0.4,[]
CVE-2006-3809,1.5,1.5.0.4,[]
CVE-2006-3808,1.5,1.5.0.4,[]
CVE-2006-3807,1.5,1.5.0.4,[]
CVE-2006-3806,1.5,1.5.0.4,[]
CVE-2006-3805,1.5,1.5.0.4,[]
CVE-2006-3803,1.5,1.5.0.4,[]
CVE-2006-3802,1.5,1.5.0.4,[]
CVE-2006-3801,1.5,1.5.0.4,[]
CVE-2006-3731,1.5,1.5.0.4,[]
CVE-2006-3677,1.5,1.5.0.4,[]
CVE-2006-3352,0.8,Preview Release,[]
CVE-2006-3113,1.5,1.5.0.4,[]
CVE-2006-2894,1.5.0.4,2.0.0.8,"[[datetime.datetime(2000, 10, 12, 4, 18), datetime.datetime(2000, 10, 12, 4, 19), u'Security', []], [datetime.datetime(2007, 2, 11, 14, 0), datetime.datetime(2007, 4, 6, 9, 39), u'Layout: Form Controls', []], [datetime.datetime(2005, 4, 15, 8, 50), datetime.datetime(2006, 6, 18, 14, 32), u'DOM: Events', []]]"
CVE-2006-2788,0.8,Preview Release,"[[datetime.datetime(2005, 12, 27, 3, 44), datetime.d"
