CVE,InitialVersion,FinalVersion,"['reportedDate', 'fixDate', 'component', 'versions']"
CVE-2012-5843,0.1,16.0.2,"[[datetime.datetime(2012, 10, 5, 18, 44), datetime.datetime(2012, 10, 17, 18, 24), u'JavaScript Engine', [u'(firefox15 wontfix', u' firefox16 wontfix', u' firefox17+ fixed', u' firefox18+ fixed', u' firefox19+ fixed']], [datetime.datetime(2012, 10, 2, 15, 5), datetime.datetime(2012, 10, 2, 15, 5), u'JavaScript Engine', [u'(firefox15 wontfix', u' firefox16 wontfix', u' firefox17+ verified', u' firefox18+ verified', u' firefox19+ verified']], [datetime.datetime(2012, 9, 28, 4, 55), datetime.datetime(2012, 10, 16, 6, 10), u'Safe Browsing', [u'(firefox17+ fixed', u' firefox18+ fixed', u' firefox19+ fixed']], [datetime.datetime(2012, 9, 21, 11, 36), datetime.datetime(2012, 9, 21, 11, 53), u'XPCOM', [u'(firefox17+ fixed', u' firefox18+ fixed']], [datetime.datetime(2012, 9, 16, 19, 7), datetime.datetime(2012, 9, 17, 11, 55), u'Layout', [u'(firefox16 affected', u' firefox17+ verified', u' firefox18+ verified']], [datetime.datetime(2012, 8, 21, 10, 27), datetime.datetime(2012, 8, 27, 13, 53), u'DOM: Device Interfaces', [u'(firefox17 fixed']], [datetime.datetime(2012, 8, 30, 8, 41), datetime.datetime(2012, 9, 3, 18, 48), u'Layout', [u'(firefox16- affected', u' firefox17+ fixed', u' firefox18+ fixed']], [datetime.datetime(2012, 9, 5, 14, 46), datetime.datetime(2012, 10, 22, 18, 58), u'JavaScript Engine', [u'(firefox15 unaffected', u' firefox16 affected', u' firefox17+ fixed', u' firefox18+ fixed', u' firefox19 fixed']], [datetime.datetime(2012, 9, 6, 8, 46), datetime.datetime(2012, 10, 16, 16, 43), u'Audio/Video', [u'(firefox15- affected', u' firefox16- wontfix', u' firefox17+ fixed', u' firefox18+ verified', u' firefox19 verified']], [datetime.datetime(2012, 8, 6, 16, 57), datetime.datetime(2012, 10, 1, 13, 1), u'DOM: IndexedDB', [u'(firefox17 fixed']], [datetime.datetime(2012, 8, 10, 10, 23), datetime.datetime(2012, 10, 22, 17, 46), u'JavaScript Engine', [u'(firefox15 wontfix', u' firefox16 wontfix', u' firefox17+ fixed', u' firefox18+ fixed', u' firefox19+ fixed']], [datetime.datetime(2012, 7, 17, 17, 36), datetime.datetime(2012, 8, 10, 17, 45), u'JavaScript Engine', [u'(firefox16 affected', u' firefox17 verified']], [datetime.datetime(2012, 6, 2, 19, 58), datetime.datetime(2012, 6, 2, 19, 59), u'XPConnect', [u'(firefox14 unaffected', u' firefox15 wontfix', u' firefox16 wontfix', u' firefox17 fixed']], [datetime.datetime(2012, 6, 15, 16, 40), datetime.datetime(2012, 9, 7, 6, 4), u'Layout', [u'(firefox14- wontfix', u' firefox15- wontfix', u' firefox16- wontfix', u' firefox17+ verified', u' firefox18+ verified']]]"
CVE-2012-5842,0.1,16.0.2,"[[datetime.datetime(2012, 10, 26, 13, 46), datetime.datetime(2012, 10, 27, 13, 45), u'Graphics', [u'(firefox16 wontfix', u' firefox17+ fixed', u' firefox18+ fixed', u' firefox19 fixed']], [datetime.datetime(2012, 11, 7, 16, 28), datetime.datetime(2012, 11, 12, 16, 11), u'DOM: Events', [u'(firefox17+ verified', u' firefox18+ verified', u' firefox19+ verified']], [datetime.datetime(2012, 9, 24, 14, 38), datetime.datetime(2012, 9, 25, 15, 1), u'Layout', [u'(firefox16 wontfix', u' firefox17+ fixed', u' firefox18+ fixed', u' firefox19+ fixed']], [datetime.datetime(2012, 10, 16, 8, 19), datetime.datetime(2012, 10, 25, 16, 54), u'ImageLib', [u'(firefox17 fixed', u' firefox18 fixed', u' firefox19+ fixed']], [datetime.datetime(2012, 3, 16, 11, 9), datetime.datetime(2013, 3, 18, 13, 2), u'XPConnect', [u'(firefox17 fixed', u' firefox18 fixed', u' firefox19 fixed']]]"
CVE-2012-5841,0.1,16.0.2,"[[datetime.datetime(2012, 10, 26, 7, 44), datetime.datetime(2012, 11, 7, 22, 37), u'XPConnect', [u'(firefox17 fixed', u' firefox18 fixed', u' firefox19 fixed']]]"
CVE-2012-5840,0.1,16.0.2,"[[datetime.datetime(2012, 10, 24, 17, 34), datetime.datetime(2012, 11, 4, 4, 28), u'Editor', [u'(firefox16 wontfix', u' firefox17+ fixed', u' firefox18+ fixed', u' firefox19 fixed']]]"
CVE-2012-5839,0.1,16.0.2,"[[datetime.datetime(2012, 10, 23, 22, 55), datetime.datetime(2012, 11, 9, 11, 41), u'Graphics', [u'(firefox16 affected', u' firefox17+ fixed', u' firefox18+ fixed', u' firefox19 fixed']]]"
CVE-2012-5838,0.1,16.0.2,"[[datetime.datetime(2012, 10, 17, 12, 52), datetime.datetime(2012, 10, 24, 11, 12), u'Canvas: WebGL', [u'(firefox16 wontfix', u' firefox17+ fixed', u' firefox18+ fixed', u' firefox19+ fixed']]]"
CVE-2012-5837,0.1,16.0.2,"[[datetime.datetime(2012, 10, 11, 7, 27), datetime.datetime(2012, 11, 11, 14, 32), u'Developer Tools', [u'(firefox16 wontfix', u' firefox17+ fixed', u' firefox18+ fixed', u' firefox19+ verified']]]"
CVE-2012-5836,0.1,16.0.2,"[[datetime.datetime(2012, 9, 20, 8, 29), datetime.datetime(2012, 9, 21, 11, 14), u'SVG', [u'(firefox15 wontfix', u' firefox16 wontfix', u' firefox17+ verified', u' firefox18+ verified', u' firefox19+ verified']]]"
CVE-2012-5835,0.1,16.0.2,"[[datetime.datetime(2012, 9, 13, 0, 58), datetime.datetime(2012, 10, 26, 11, 21), u'Canvas: WebGL', [u'(firefox16 wontfix', u' firefox17 fixed', u' firefox18 fixed']]]"
CVE-2012-5833,0.1,16.0.2,"[[datetime.datetime(2012, 8, 26, 11, 23), datetime.datetime(2012, 10, 26, 11, 16), u'Canvas: WebGL', [u'(firefox15 wontfix', u' firefox16 affected', u' firefox17+ verified', u' firefox18+ verified', u' firefox19 verified']]]"
