CVE,InitialVersion,FinalVersion,"['reportedDate', 'fixDate', 'component', 'versions']"
CVE-2015-7327,40.0.3,40.0.3,"[[datetime.datetime(2015, 4, 12, 13, 45), datetime.datetime(2015, 4, 12, 14, 20), u'DOM', [u'(firefox40 wontfix', u' firefox41 fixed', u' firefox42 fixed']], [datetime.datetime(2015, 5, 21, 19, 58), datetime.datetime(2015, 7, 7, 8, 25), u'DOM', [u'(firefox40 wontfix', u' firefox41+ fixed', u' firefox42 fixed']]]"
CVE-2015-7223,42.0,42.0,"[[datetime.datetime(2015, 11, 19, 16, 1), datetime.datetime(2015, 11, 25, 15, 53), u'WebExtensions: Untriaged', [u'(firefox42 wontfix', u' firefox43+ fixed', u' firefox44+ fixed', u' firefox45+ fixed']]]"
CVE-2015-7222,42.0,42.0,"[[datetime.datetime(2015, 10, 20, 14, 0), datetime.datetime(2015, 12, 1, 19, 54), u'Audio/Video: Playback', [u'(firefox42 wontfix', u' firefox43+ fixed', u' firefox44+ fixed', u' firefox45+ fixed']]]"
CVE-2015-7221,42.0,42.0,"[[datetime.datetime(2015, 8, 27, 11, 58), datetime.datetime(2015, 9, 4, 12, 27), u'XPCOM', [u'(firefox43 fixed']]]"
CVE-2015-7220,42.0,42.0,"[[datetime.datetime(2015, 6, 27, 12, 52), datetime.datetime(2015, 7, 15, 6, 59), u'JavaScript Engine', [u'(firefox41 wontfix', u' firefox42 wontfix', u' firefox43 fixed']]]"
CVE-2015-7219,42.0,42.0,"[[datetime.datetime(2015, 8, 14, 11, 40), datetime.datetime(2015, 8, 18, 12, 36), u'Networking: HTTP', [u'(firefox42 wontfix', u' firefox43 fixed']]]"
CVE-2015-7218,42.0,42.0,"[[datetime.datetime(2015, 8, 14, 11, 37), datetime.datetime(2015, 8, 31, 5, 57), u'Networking: HTTP', [u'(firefox42 wontfix', u' firefox43 fixed']]]"
CVE-2015-7217,42.0,42.0,"[[datetime.datetime(2015, 9, 9, 4, 52), datetime.datetime(2015, 9, 10, 21, 40), u'Widget: Gtk', [u'(firefox40 wontfix', u' firefox41 affected', u' firefox42 affected', u' firefox43 verified']]]"
CVE-2015-7216,42.0,42.0,"[[datetime.datetime(2015, 8, 20, 20, 47), datetime.datetime(2015, 8, 28, 14, 12), u'General', [u'(firefox43 verified']]]"
CVE-2015-7215,42.0,42.0,"[[datetime.datetime(2015, 5, 3, 11, 15), datetime.datetime(2015, 10, 21, 11, 12), u'DOM: Workers', [u'(firefox40- wontfix', u' firefox41- wontfix', u' firefox42+ wontfix', u' firefox43+ fixed', u' firefox46 verified', u' firefox47 verified']]]"
CVE-2015-7214,42.0,42.0,"[[datetime.datetime(2015, 11, 30, 1, 20), datetime.datetime(2015, 12, 14, 11, 27), u'DOM', [u'(firefox42 wontfix', u' firefox43+ verified', u' firefox44+ verified', u' firefox45+ verified']]]"
CVE-2015-7213,42.0,42.0,"[[datetime.datetime(2015, 9, 18, 12, 58), datetime.datetime(2015, 12, 1, 19, 46), u'Audio/Video: Playback', [u'(firefox43+ verified', u' firefox44+ verified']]]"
CVE-2015-7212,42.0,42.0,"[[datetime.datetime(2015, 11, 8, 7, 38), datetime.datetime(2015, 12, 3, 3, 9), u'Graphics: Layers', [u'(firefox43 verified', u' firefox44 verified', u' firefox45 verified']]]"
CVE-2015-7211,42.0,42.0,"[[datetime.datetime(2015, 11, 3, 23, 5), datetime.datetime(2015, 11, 4, 11, 22), u'Networking', [u'(firefox43+ fixed', u' firefox44+ fixed', u' firefox45+ fixed']]]"
CVE-2015-7210,42.0,42.0,"[[datetime.datetime(2015, 10, 26, 2, 32), datetime.datetime(2015, 10, 29, 6, 20), u'WebRTC', [u'(firefox41 wontfix', u' firefox42 wontfix', u' firefox43+ verified', u' firefox44+ fixed', u' firefox45+ fixed']]]"
CVE-2015-7208,42.0,42.0,"[[datetime.datetime(2015, 8, 5, 10, 37), datetime.datetime(2015, 12, 16, 10, 39), u'Networking: Cookies', [u'(firefox41 wontfix', u' firefox42+ wontfix', u' firefox43+ fixed', u' firefox44 fixed']]]"
CVE-2015-7207,42.0,42.0,"[[datetime.datetime(2015, 7, 18, 9, 28), datetime.datetime(2016, 3, 2, 12, 39), u'DOM', [u'(firefox43+ verified', u' firefox44+ fixed']]]"
CVE-2015-7205,42.0,42.0,"[[datetime.datetime(2015, 11, 1, 14, 55), datetime.datetime(2015, 11, 5, 7, 18), u'WebRTC: Networking', [u'(firefox41 wontfix', u' firefox42 wontfix', u' firefox43+ fixed', u' firefox44+ fixed', u' firefox45+ fixed']]]"
